0,1,2,3,4,5
11020BMES511203,書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"彭旭霞PENG, HSU-HSIA",17,4.12,0.25
11020BMES512200,碩士班專題研究二MS Graduate Research (II),指導教授,40,4.21,0.23
11020BMES522100,生醫光電基礎Fundamentals of Biophotonics,"陳之碩CHEN, CHI-SHUO",14,3.64,0.61
11020BMES525100,藥物控制釋放Drug Controlled Release,"邱信程CHIU, HSIN-CHENG",27,4.07,0.51
11020BMES526100,奈米生醫導論Introduction to Nanobiotechnology,"許志楧HSU, CHIH-YING",11,3.45,0.87
11020BMES526600,生醫高分子應用Polymer for Bio-Applications,"胡尚秀HU, SHANG-HSIU",31,4.06,0.18
11020BMES527400,生醫流行病與環境毒理學Biomedical Epidemiology and Environmental Toxicology,"莊淳宇CHUANG, CHUN-YU",7,4.13,0.27
11020BMES528400,分子影像藥物Molecular Imaging Pharmaceuticals,"張智偉CHANG, CHIH-WEI",16,3.23,0.75
11020BMES542400,幹細胞與組織工程Stem Cell and Tissue Engineering,"張建文CHANG, CHIEN-WEN",13,3.83,0.3
11020BMES546600,數位生物醫學顯微影像技術Digital biomedical microscopy technology,"朱麗安CHU, LI-AN",13,3.98,0.46
11020BMES547500,深度學習之生醫影像分析Deep Learning in Biomedical Image Analysis,"許靖涵HSU, CHING-HAN",49,4.04,0.49
11020BMES611201,專題書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"俞鐘山YU, CHUNG-SHAN",31,3.97,0.21
11020BMES611203,專題書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"彭旭霞PENG, HSU-HSIA",19,4.14,0.25
11020BMES626100,真空科學與工程特論Special Topics on Vacuum Science and Engineering,"陳俊榮CHEN, JUNE-RONG",3,3.67,0.47
11020BMES711200,專題書報討論Seminar,"林曉均Lin, Hsiao Chun",20,4.23,0.13
11020BMES712200,博士班專題研究二PhD Graduate Research (II),指導教授,10,4.21,0.14
11020CHE 114001,質能均衡Material and Energy Balance,"沈若樸SHEN, CLAIRE-ROAPU",38,3.71,0.89
11020CHE 114002,質能均衡Material and Energy Balance,"宋信文SUNG, HSING-WEN",37,3.69,0.93
11020CHE 212001,工程數學二Engineering Mathematics II,"呂世源LU, SHIH-YUAN",33,2.82,1.25
11020CHE 212002,工程數學二Engineering Mathematics II,"周鶴修CHOU, HO-HSIU",39,3.43,0.73
11020CHE 240100,資訊系統應用Computer Systems & Applications,"姚遠YAO, YUAN",88,2.77,1.26
11020CHE 242001,物理化學二Physical Chemistry (II),堀江正樹MASAKI HORIE,30,3.4,1.27
11020CHE 242002,物理化學二Physical Chemistry (II),"王潔WANG, JANE",33,3.68,0.63
11020CHE 305001,程序控制Process Control,"鄭西顯JANG, SHI-SHANG",31,3.24,0.95
11020CHE 305002,程序控制Process Control,"姚遠YAO, YUAN",33,2.98,1.26
11020CHE 306002,化工單操Chemical Engineering Unit Operations,林育正YU-JENG LIN,29,3.7,0.89
11020CHE 353001,輸送現象及單元操作二Transport Phenomena and Unit Operations(II),"黃振煌HUANG, JEN-HUANG",40,3.19,0.76
11020CHE 353002,輸送現象及單元操作二Transport Phenomena and Unit Operations(II),"陳信龍CHEN, HSIN-LUNG",29,3.08,0.85
11020CHE 373000,基礎高分子科學Fundamental Polymer Science,"劉英麟LIU, YING-LING陳信龍CHEN, HSIN-LUNG",9,3.56,0.83
11020CHE 431200,電子構裝技術與材料Electronic Packaging technology and materials,"陳信文CHEN, SINN-WEN",31,3.57,1.19
11020CHE 494000,光電材料與元件基礎Fundamentals of Optoelectronic Materials and Devices,"劉英麟LIU, YING-LING衛子健WEI, TZU-CHIEN",25,3.42,1.14
11020CHE 495000,專題研究一Undergraduate Research (I),指導教授,38,4.28,0.1
