"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
110上,AES 450600,"應用生態學
Applied Ecology","楊樹森YANG, SHU-SEN",9,3.89,0.3,AES4506,26954271932686289657871837285836978
110上,AES 510000,"專題演講
Colloquium","周子勤CHOU, TSU-CHIN",40,3.84,0.19,AES5100,2160823376212206772798584838567727378
110上,AES 510100,"碩士班專題研究
MS Graduate Research",指導教授,15,4.19,0.26,AES5101,25351235662594525480
110上,AES 511100,"書報討論
Seminar","周子勤CHOU, TSU-CHIN",22,3.85,0.32,AES5111,2160823376212206772798584838567727378
110上,AES 520100,"環境分析化學
Environmental Analytical Chemistry","黃郁棻HUANG, YU-FEN",20,3.65,0.5,AES5201,40643370572687572856578718985706978
110上,AES 520300,"環境化學
Environment Chemistry","董瑞安DOONG, RUEY-AN",31,3.19,1.14,AES5203,3389129790234336879797871828569896578
110上,AES 530200,"表面分析技術
Surface Analysis Techniques","周子勤CHOU, TSU-CHIN",10,3.73,0.48,AES5302,2160823376212206772798584838567727378
110上,AES 530300,"環境微生物檢驗分析技術
Inspection and examination technology of environmental microorganisms","李清福LEE, CHING-FU",4,3.58,0.49,AES5303,26446281653111976696967727378717085
110上,AES 540500,"空氣懸浮微粒特性分析
Aerosol Characterization and Measurement Techniques","林采吟LIN, TSAI-YIN",10,3.96,0.27,AES5405,26519373192153576737884836573897378
110上,AES 550200,"當代環境醫學特論一
Specific Topic for Contemporary Environmental Medicine (I)","周秀專CHOU, HSIU-CHUAN",7,3.47,1.43,AES5502,21608311682356067727985728373856772856578
110上,AES 560400,"環境品質與生物指標
Envitronmental Quality and Bioindicator","楊樹森YANG, SHU-SEN",5,3.8,0.28,AES5604,26954271932686289657871837285836978
110上,AES 570100,"廢棄物與處理
Waste Management and Treatment","王竹方WANG, CHU-FANG",51,3.85,0.31,AES5701,2957931481260418765787167728570657871
110上,AES 611100,"專題書報討論
Seminar","周子勤CHOU, TSU-CHIN",21,3.91,0.3,AES6111,2160823376212206772798584838567727378
110上,ANTH 651000,"文化人類學專題
Special Topics in Cultural Anthropology",許瀞文CHING-WEN HSU,14,3.78,0.19,ANTH6510,3537728702259916772737871876978728385
110上,ANTH 653000,"漢人社會與文化
Society and Culture of Han Chinese","方怡潔FANG, I-CHIEH",13,3.88,0.24,ANTH6530,26041246092850070657871736772736972
110上,ANTH 653500,"中國少數民族
Ethnic Minorities in China","黃樹民HUANG, SHU-MIN
劉紹華LIU, SHAO-HUA",4,3.58,0.29,ANTH6535,406432719327665728565787183728577737821129320573377576738583726579728565
110上,ANTH 666800,"東南亞社會與文化
Cultures and Societies of Southeast Asia","高進榮GALIPEAU, BRENDAN ARTHUR",3,4.3,0.0,ANTH6668,396403691427054716576738069658566826978686578658284728582
110上,ANTH 670800,"文化資產管理
Management in Cultural Property","臧振華TSANG, CHENG-HWA",14,3.79,0.24,ANTH6708,33255253913377584836578716772697871728765
110上,ANTH 676000,"身體與文化
Body and Culture","呂玫鍰LU, MEI-HUAN",2,4.0,0.0,ANTH6760,215702961137744768577697372856578
110上,ANTH 677100,"陶瓷與世界史研究專題
Ceramics and World History",謝艾倫ELLEN HSIEH,9,3.91,0.35,ANTH6771,35613334062052369767669787283736972
110上,ANTH 678800,"文化人類學田野實習
Fieldwork Training","李威宜LEE, WEI-I",7,3.97,0.53,ANTH6788,26446230412345276696987697373
110上,ANTH 678900,"考古學田野實習
Archaeological Field Practicum","邱鴻霖CHIU, HUNG-LIN",3,4.1,0.28,ANTH6789,3704140251386786772738572857871767378
110上,ANTH 679000,"台灣南島研究
Austronesian Taiwan","顧坤惠KU, KUN-HUI",4,3.78,0.13,ANTH6790,3901522372248007585758578728573
110上,ANTH 679100,"主權：許諾、限制與可能性
Sovereignties:Promises, Limits,and Possibilities","林浩立LIN, HAO-LI",9,4.13,0.25,ANTH6791,2651928009314357673787265797673
110上,ANTH 679200,"民族誌寫作
Writing Ethnography","李威宜LEE, WEI-I",8,3.88,0.32,ANTH6792,26446230412345276696987697373
110上,ASTR 500100,"專題研究
--天文教學二Special Topic on Teaching Astronomy (II)",指導教授,2,0.0,0.0,ASTR5001,25351235662594525480
110上,ASTR 510000,"恒星天文物理學
Stellar Astrophysics","潘國全PAN, KUO-CHUAN",5,3.84,0.45,ASTR5100,2850422283208408065787585796772856578
110上,ASTR 591000,"專題演講一
Colloquium (I)",何英宏Daniel Harsono,12,4.1,0.25,ASTR5910,20309335212343968971101051011087297114115111110111
110上,ASTR 600700,"天文物理的前沿一
Frontier of Astrophysics Seminars I","後藤友嗣GOTO, TOMOTSUGU",10,4.09,0.19,ASTR6007,2446034276214512198771798479847977798483857185
110上,ASTR 610000,"天文觀測
Observational Astronomy",江國興ALBERT KONG,10,3.64,0.53,ASTR6100,27743222833328865766669828475797871
110上,ASTR 635000,"高能天文物理
High Energy Astrophysics","楊湘怡YANG, HSIANG-YI",9,3.78,0.53,ASTR6350,269542824824609896578717283736578718973
110上,ASTR 640000,"宇宙論
Cosmology","安德魯˙古柏COOPER, ANDREW PAUL",5,3.78,0.64,ASTR6400,234332450339791214762657567797980698265786882698780658576
110上,BAI 700100,"統計與機器學習概論一
Introduction of Statistics and Machine Learning (I)","張筱涵CHANG, HSIAO-HAN
楊立威YANG, LEE-WEI
洪樂文YAO-WIN HONG
李祈均LEE, CHI-CHUN",15,3.27,0.66,BAI7001,24373316012808567726578717283736579726578269543143523041896578717669698769732794627138259918965798773787279787126446310482234376696967727367728578
110上,BAI 700300,"專題演講
Colloquium","楊立威YANG, LEE-WEI
李祈均LEE, CHI-CHUN",3,4.1,0.14,BAI7003,2695431435230418965787176696987697326446310482234376696967727367728578
110上,BAI 700600,"實驗輪轉一
Lab Rotation (I)","楊立威YANG, LEE-WEI",1,4.0,0.0,BAI7006,26954314352304189657871766969876973
110上,BME 400100,"專題研究
Undergraduate Research",指導教授,7,4.26,0.11,BME4001,25351235662594525480
110上,BME 500400,"書報討論
Seminar","陳韻晶CHEN, YUN-CHING",46,3.85,0.29,BME5004,385153890726230677269788985786772737871
110上,BME 500700,"生醫材料特性分析
Analytical and Sensing Technologies in Biomedical Sciences","萬德輝WAN, DE-HUI",10,3.96,0.46,BME5007,3383624503366378765786869728573
110上,BME 500800,"癌症生物學與治療
Cancer Biology and Therapy","陳韻晶CHEN, YUN-CHING",24,4.08,0.34,BME5008,385153890726230677269788985786772737871
110上,BME 502200,"電化學感測器
Electrochemical Sensor","林宗宏LIN, ZONG-HONG",18,4.02,0.21,BME5022,2651923447234397673789079787172797871
