"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
110下,BMES 112200,"生命科學導論
Introduction to Life Science","莊淳宇CHUANG, CHUN-YU",44,3.02,1.06,BMES1122,336742814723431677285657871677285788985
110下,BMES 211200,"工程數學二
Engineering Mathematics II","劉耕谷LIU, KENG-KU",41,3.16,1.19,BMES2112,211293278935895767385756978717585
110下,BMES 223200,"電子學二
Electronics II","葉秩光YEH, CHIH-KUANG",27,3.85,0.61,BMES2232,338653120920809896972677273727585657871
110下,BMES 225200,"有機化學二
Organic Chemistry (II)","俞鐘山YU, CHUNG-SHAN",16,3.01,1.2,BMES2252,2044637912236658985677285787183726578
110下,BMES 232200,"分析化學一
Analytical Chemistry (I)","李亦淇LEE, I-CHI",11,3.53,0.66,BMES2322,26446201342810376696973677273
110下,BMES 240200,"計算機概論與程式語言
Introduction to Computer Science and Programming Language","彭旭霞PENG, HSU-HSIA",20,3.89,0.92,BMES2402,2442926093386868069787172838572837365
110下,BMES 318200,"專題研究二
Undergraduate Research (II)",指導教授,23,4.16,0.17,BMES3182,25351235662594525480
110下,BMES 323401,"生物與材料實驗
Biology and Biomedical Materials Laboratory","李亦淇LEE, I-CHI",14,3.93,1.1,BMES3234,26446201342810376696973677273
110下,BMES 323402,"生物與材料實驗
Biology and Biomedical Materials Laboratory","莊淳宇CHUANG, CHUN-YU",29,4.25,0.11,BMES3234,336742814723431677285657871677285788985
110下,BMES 325100,"生理解剖學
Human Anatomy and Physiology","柯美蘭KO, MEI-LAN",36,3.03,0.99,BMES3251,2660732654343497579776973766578
110下,BMES 326200,"生物化學二
Biochemistry II","江啟勳CHIANG, CHI-SHIUN",17,3.22,0.9,BMES3262,2774321855212356772736578716772738372738578
110下,BMES 411200,"書報討論
Seminar","邱信程CHIU, HSIN-CHENG",12,4.14,0.36,BMES4112,37041204493124367727385728373786772697871
110下,BMES 418200,"專題研究四
Undergraduate Research (IV)",指導教授,6,4.25,0.11,BMES4182,25351235662594525480
110下,BMES 424200,"分子遺傳學
Molecular Genetics","張建文CHANG, CHIEN-WEN",30,3.05,1.14,BMES4242,24373243142599167726578716772736978876978
110下,BMES 424400,"生醫高分子導論
Introduction of Biomedical Polymer","胡尚秀HU, SHANG-HSIU",34,4.02,0.6,BMES4244,3299323578311687285837265787172837385
110下,BMES 432200,"全球暖化與環境衝擊
Global Warming and Environmental Impact","鍾堅CHUNG, CHIEN",117,3.54,0.86,BMES4322,377582253367728578716772736978
110下,BMES 500000,"專題演講
Colloquium","俞鐘山YU, CHUNG-SHAN
彭旭霞PENG, HSU-HSIA",110,4.3,0.0,BMES5000,20446379122366589856772857871837265782442926093386868069787172838572837365
110下,BMES 511201,"書報討論-分子生醫工程與材料
Seminar：Molecular Biomedical Engineering and Materials","俞鐘山YU, CHUNG-SHAN",23,4.05,0.14,BMES5112,2044637912236658985677285787183726578
110下,BMES 511203,"書報討論-生醫影像工程
Seminar：Biomedical Imaging Engineering","彭旭霞PENG, HSU-HSIA",17,4.12,0.25,BMES5112,2442926093386868069787172838572837365
110下,BMES 512200,"碩士班專題研究二
MS Graduate Research (II)",指導教授,40,4.21,0.23,BMES5122,25351235662594525480
110下,BMES 522100,"生醫光電基礎
Fundamentals of Biophotonics","陳之碩CHEN, CHI-SHUO",14,3.64,0.61,BMES5221,3851520043308896772697867727383728579
110下,BMES 525100,"藥物控制釋放
Drug Controlled Release","邱信程CHIU, HSIN-CHENG",27,4.07,0.51,BMES5251,37041204493124367727385728373786772697871
110下,BMES 526100,"奈米生醫導論
Introduction to Nanobiotechnology","許志楧HSU, CHIH-YING",11,3.45,0.87,BMES5261,3537724535269837283856772737289737871
110下,BMES 526600,"生醫高分子應用
Polymer for Bio-Applications","胡尚秀HU, SHANG-HSIU",31,4.06,0.18,BMES5266,3299323578311687285837265787172837385
110下,BMES 527400,"生醫流行病與環境毒理學
Biomedical Epidemiology and Environmental Toxicology","莊淳宇CHUANG, CHUN-YU",7,4.13,0.27,BMES5274,336742814723431677285657871677285788985
110下,BMES 528400,"分子影像藥物
Molecular Imaging Pharmaceuticals","張智偉CHANG, CHIH-WEI",16,3.23,0.75,BMES5284,243732623420553677265787167727372876973
110下,BMES 542400,"幹細胞與組織工程
Stem Cell and Tissue Engineering","張建文CHANG, CHIEN-WEN",13,3.83,0.3,BMES5424,24373243142599167726578716772736978876978
110下,BMES 546600,"數位生物醫學顯微影像技術
Digital biomedical microscopy technology","朱麗安CHU, LI-AN",13,3.98,0.46,BMES5466,26417405992343367728576736578
110下,BMES 547500,"深度學習之生醫影像分析
Deep Learning in Biomedical Image Analysis","許靖涵HSU, CHING-HAN",49,4.04,0.49,BMES5475,3537738742280857283856772737871726578
110下,BMES 611201,"專題書報討論-分子生醫工程與材料
Seminar：Molecular Biomedical Engineering and Materials","俞鐘山YU, CHUNG-SHAN",31,3.97,0.21,BMES6112,2044637912236658985677285787183726578
110下,BMES 611203,"專題書報討論-生醫影像工程
Seminar：Biomedical Imaging Engineering","彭旭霞PENG, HSU-HSIA",19,4.14,0.25,BMES6112,2442926093386868069787172838572837365
110下,BMES 626100,"真空科學與工程特論
Special Topics on Vacuum Science and Engineering","陳俊榮CHEN, JUNE-RONG",3,3.67,0.47,BMES6261,385152042627054677269787485786982797871
110下,BMES 711200,"專題書報討論
Seminar","林曉均Lin, Hsiao Chun",20,4.23,0.13,BMES7112,26519263132234376105110721151059711167104117110
110下,BMES 712200,"博士班專題研究二
PhD Graduate Research (II)",指導教授,10,4.21,0.14,BMES7122,25351235662594525480
110下,CHE 114001,"質能均衡
Material and Energy Balance","沈若樸SHEN, CLAIRE-ROAPU",38,3.71,0.89,CHE1140,277843350927192837269786776657382698279658085
110下,CHE 114002,"質能均衡
Material and Energy Balance","宋信文SUNG, HSING-WEN",37,3.69,0.93,CHE1140,234352044925991838578717283737871876978
110下,CHE 212001,"工程數學二
Engineering Mathematics II","呂世源LU, SHIH-YUAN",33,2.82,1.25,CHE2120,21570199902830476858372737289856578
110下,CHE 212002,"工程數學二
Engineering Mathematics II","周鶴修CHOU, HO-HSIU",39,3.43,0.73,CHE2120,21608403722046267727985727972837385
110下,CHE 240100,"資訊系統應用
Computer Systems & Applications","姚遠YAO, YUAN",88,2.77,1.26,CHE2401,230023696089657989856578
110下,CHE 242001,"物理化學二
Physical Chemistry (II)",堀江正樹MASAKI HORIE,30,3.4,1.27,CHE2420,225282774327491271937765836575737279827369
110下,CHE 242002,"物理化學二
Physical Chemistry (II)","王潔WANG, JANE",33,3.68,0.63,CHE2420,29579285008765787174657869
110下,CHE 305001,"程序控制
Process Control","鄭西顯JANG, SHI-SHANG",31,3.24,0.95,CHE3050,371653519939023746578718372738372657871
110下,CHE 305002,"程序控制
Process Control","姚遠YAO, YUAN",33,2.98,1.26,CHE3050,230023696089657989856578
110下,CHE 306002,"化工單操
Chemical Engineering Unit Operations",林育正YU-JENG LIN,29,3.7,0.89,CHE3060,265193294627491898574697871767378
110下,CHE 353001,"輸送現象及單元操作二
Transport Phenomena and Unit Operations(II)","黃振煌HUANG, JEN-HUANG",40,3.19,0.76,CHE3530,40643253912900472856578717469787285657871
110下,CHE 353002,"輸送現象及單元操作二
Transport Phenomena and Unit Operations(II)","陳信龍CHEN, HSIN-LUNG",29,3.08,0.85,CHE3530,385152044940845677269787283737876857871
110下,CHE 373000,"基礎高分子科學
Fundamental Polymer Science","劉英麟LIU, YING-LING
陳信龍CHEN, HSIN-LUNG",9,3.56,0.83,CHE3730,2112933521406077673858973787176737871385152044940845677269787283737876857871
110下,CHE 431200,"電子構裝技術與材料
Electronic Packaging technology and materials","陳信文CHEN, SINN-WEN",31,3.57,1.19,CHE4312,3851520449259916772697883737878876978
110下,CHE 494000,"光電材料與元件基礎
Fundamentals of Optoelectronic Materials and Devices","劉英麟LIU, YING-LING
衛子健WEI, TZU-CHIEN",25,3.42,1.14,CHE4940,21129335214060776738589737871767378713490723376205818769738490856772736978
110下,CHE 495000,"專題研究一
Undergraduate Research (I)",指導教授,38,4.28,0.1,CHE4950,25351235662594525480
110下,CHE 496000,"專題研究二
Undergraduate Research (II)",指導教授,4,4.23,0.13,CHE4960,25351235662594525480
110下,CHE 500200,"分子工程二
Molecular Engineering (II)","周鶴修CHOU, HO-HSIU",12,3.94,0.29,CHE5002,21608403722046267727985727972837385
110下,CHE 505000,"高等輸送現象
Advanced Transport Phenomena","潘詠庭PAN, YUNG-TIN",3,4.0,0.24,CHE5050,28504354242423780657889857871847378
110下,CHE 508000,"化工原理二
Chemical Engineering Principles (II)","蔡德豪TSAI, DE-HAO
楊東翰YANG, TUNG-HAN",14,4.15,0.22,CHE5080,3408124503359468483657368697265792695426481327528965787184857871726578
110下,CHE 510000,"書報討論
Seminar","楊東翰YANG, TUNG-HAN",119,3.97,0.17,CHE5100,2695426481327528965787184857871726578
110下,CHE 512000,"電化學分析技術與應用
Electrochemical Analytical Techniques and Applications","胡啟章HU, CHI-CHANG",22,3.79,0.53,CHE5120,32993218553145672856772736772657871
110下,CHE 512500,"實驗設計與品質工程
Experimental Design and Quality Engineering","胡啟章HU, CHI-CHANG",14,3.89,0.47,CHE5125,32993218553145672856772736772657871
110下,CHE 515200,"化學產品創意設計
Creative Design and Development of Chemical Products",盧詩磊 ,42,3.9,0.24,CHE5152,304393543330922
110下,CHE 518000,"高分子生物材料
Macromolecules as Biomaterials","王潔WANG, JANE",17,4.25,0.15,CHE5180,29579285008765787174657869
110下,CHE 524000,"數據科學與決策科技
Data Science and Decision Technology","張良志CHANG, LIANG-JYH",24,3.88,0.45,CHE5240,24373333912453567726578717673657871748972
110下,CHE 546500,"高等高分子物理
Special Topics in Condensed Polymer Physics","陳信龍CHEN, HSIN-LUNG
何榮銘HO, RONG-MING",20,3.46,0.69,CHE5465,38515204494084567726978728373787685787120309270543752872798279787177737871
110下,CHE 549000,"高分子加工
Polymer Processing","張榮語CHANG, RONG-YEU",12,3.75,0.31,CHE5490,243732705435486677265787182797871896985
110下,CHE 555000,"膠體界面科學與科技特論
Introduction to Colloid and Interface Science & Technology","蔡德豪TSAI, DE-HAO",17,4.19,0.18,CHE5550,340812450335946848365736869726579
110下,CHE 575000,"材料相平衡
Phase Equilibria of Materials","陳信文CHEN, SINN-WEN",5,3.8,0.56,CHE5750,3851520449259916772697883737878876978
110下,CHE 576000,"金屬奈米材料
Metal Nanomaterials","楊東翰YANG, TUNG-HAN",30,4.15,0.28,CHE5760,2695426481327528965787184857871726578
