0,1,2,3,4,5
11010BMES312101,生醫電子與儀器實驗Biomedical Electronics and Instrumentation Laboratory,"許志楧HSU, CHIH-YING陳之碩CHEN, CHI-SHUO",11,4.22,0.13
11010BMES312102,生醫電子與儀器實驗Biomedical Electronics and Instrumentation Laboratory,"葉秩光YEH, CHIH-KUANG",25,4.14,0.15
11010BMES316100,生物化學一Biochemistry I,"邱信程CHIU, HSIN-CHENG",41,3.5,1.21
11010BMES318100,專題研究一Undergraduate Research (I),指導教授,25,4.12,0.32
11010BMES323100,數值方法Numerical Methods,"劉耕谷LIU, KENG-KU",23,3.19,0.92
11010BMES327200,生醫材料Biomedical Materials,"胡尚秀HU, SHANG-HSIU",24,3.58,0.89
11010BMES337100,物理化學一Physical Chemistry (I),"吳劍侯WU, CHIEN-HOU",11,3.6,1.17
11010BMES343100,醫學儀器Medical Instrumentation,"彭旭霞PENG, HSU-HSIA",12,3.72,0.64
11010BMES411100,書報討論Seminar,"李亦淇LEE, I-CHI",26,4.05,0.42
11010BMES418100,專題研究三Undergraduate Research (III),指導教授,15,4.22,0.13
11010BMES420200,放射化學Radiochemistry,"張智偉CHANG, CHIH-WEI",16,2.82,1.18
11010BMES423100,分子細胞生物學Molecular and Cellular Biology,"張建文CHANG, CHIEN-WEN",23,2.78,1.47
11010BMES433100,全球能源短缺衝擊Impact of Global Energy Shortage,"鍾堅CHUNG, CHIEN",170,3.62,0.81
11010BMES441100,臨床醫學影像概論Introduction of medical imaging,"楊菁華YANG, CHIN-HUA",31,3.85,0.4
11010BMES441200,放射物理Radiation Physics,"許芳裕HSU, FANG-YUH",29,3.69,0.67
11010BMES441300,臨床醫學總論Clinical Medicine,"沈名吟SHEN, MING-YIN",29,4.29,0.05
11010BMES442100,生醫訊號與系統Biomedical Signals and Systems,"許靖涵HSU, CHING-HAN",28,3.75,0.61
11010BMES500000,專題演講Colloquium,"邱信程CHIU, HSIN-CHENG林曉均Lin, Hsiao Chun",106,4.01,0.13
11010BMES511101,書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"邱信程CHIU, HSIN-CHENG",20,4.24,0.12
11010BMES511103,書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"林曉均Lin, Hsiao Chun",16,4.23,0.13
11010BMES512100,碩士班專題研究一MS Graduate Research (I),指導教授,39,4.21,0.15
11010BMES520200,生醫感測器Biomedical Sensors,"劉耕谷LIU, KENG-KU",21,3.66,0.5
11010BMES523100,基因晶片及其生醫應用Gene Chips and Its Biomedical Applications,"許志楧HSU, CHIH-YING",19,3.83,0.3
11010BMES523500,器官晶片與人工器官設計與應用Design and Application of Organ on a Chip and Bioartificial Organ,"李亦淇LEE, I-CHI",44,3.67,0.43
11010BMES529100,生醫耦合化學Bioconjugated Chemistry,"俞鐘山YU, CHUNG-SHAN",10,3.95,0.57
11010BMES545300,神經科學研究方法Neuroscience research methods,"朱麗安CHU, LI-AN",14,4.21,0.14
11010BMES546300,生醫影像處理Biomedical Image Processing,"許靖涵HSU, CHING-HAN",31,4.17,0.31
11010BMES546700,核磁共振影像原理及應用Magnetic Resonance Imaging Principles and Applications,"彭旭霞PENG, HSU-HSIA",7,3.59,0.51
11010BMES548500,超音波與光學：生醫技術與應用Ultrasound and Optics : Biomedical Imaging Techniques and applications,"林曉均Lin, Hsiao Chun",6,3.88,0.45
11010BMES611101,專題書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"邱信程CHIU, HSIN-CHENG",30,4.18,0.59
11010BMES611103,專題書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"林曉均Lin, Hsiao Chun",20,4.24,0.12
11010BMES711100,專題書報討論Seminar,"周秀專CHOU, HSIU-CHUAN",18,3.83,0.33
11010BMES712100,博士班專題研究一PhD Graduate Research (I),指導教授,9,4.2,0.14
11010CHE 116000,化學工程導論Introduction to Chemical Engineering,"劉英麟LIU, YING-LING",71,4.03,0.13
11010CHE 211001,工程數學一Engineering Mathematics I,"呂世源LU, SHIH-YUAN",41,2.82,1.2
11010CHE 211002,工程數學一Engineering Mathematics I,"潘詠庭PAN, YUNG-TIN",42,3.2,1.06
11010CHE 241000,物理化學一Physical Chemistry (I),"王潔WANG, JANE",65,3.9,0.78
11010CHE 301000,能源科技與環境概論Introduction to Energy Technology and Environment,林育正YU-JENG LIN,61,4.14,0.48
11010CHE 303001,化工熱力學Chemical Engineering Thermodynamics,"陳信文CHEN, SINN-WEN",33,3.37,1.1
11010CHE 303002,化工熱力學Chemical Engineering Thermodynamics,"何榮銘HO, RONG-MING",33,3.42,0.84
11010CHE 307001,化學反應工程Chemical Reaction Engineering,"衛子健WEI, TZU-CHIEN",35,3.83,0.91
11010CHE 307002,化學反應工程Chemical Reaction Engineering,"楊東翰YANG, TUNG-HAN",32,3.63,0.76
11010CHE 309001,儀器分析及實驗一Instrumental Analysis and Lab.(I),堀江正樹MASAKI HORIE,32,3.44,0.92
11010CHE 309002,儀器分析及實驗一Instrumental Analysis and Lab.(I),"劉英麟LIU, YING-LING",31,3.49,0.85
11010CHE 352001,輸送現象及單元操作一Transport Phenomena and Unit Operations(I),"黃振煌HUANG, JEN-HUANG",37,3.43,0.67
11010CHE 352002,輸送現象及單元操作一Transport Phenomena and Unit Operations(I),"陳信龍CHEN, HSIN-LUNG",31,3.34,1.01
11010CHE 412000,材料科學Materials Science,"陳信文CHEN, SINN-WEN",18,3.57,1.09
11010CHE 415001,程序設計Process Design,"汪上曉WONG, SHANG-HSIAO",21,3.5,0.66
11010CHE 415002,程序設計Process Design,"朱一民CHU, I-MIN",18,3.88,0.41
11010CHE 415003,程序設計Process Design,林育正YU-JENG LIN,21,4.09,0.19
11010CHE 421001,單元操作實驗Unit Operation Laboratory,"蔡德豪TSAI, DE-HAO",31,3.92,0.29
11010CHE 421002,單元操作實驗Unit Operation Laboratory,"潘詠庭PAN, YUNG-TIN",27,3.86,0.26
11010CHE 455200,生物技術概論Introduction to Biotechnology,"胡育誠HU, YU-CHEN",15,4.01,0.44
11010CHE 485000,半導體材料與製造技術Semiconductor Materials and Manufacturing Technology,"謝昌志HSIEH,CHANG-JYH",19,3.52,1.04
11010CHE 495000,專題研究一Undergraduate Research (I),指導教授,9,3.82,1.35
11010CHE 496000,專題研究二Undergraduate Research (II),指導教授,23,4.29,0.06
11010CHE 500100,分子工程一Molecular Engineering (I),"周鶴修CHOU, HO-HSIU",16,4.14,0.26
11010CHE 501000,高等化工熱力學Advanced Chem. Engineering Thermodynamics,"汪上曉WONG, SHANG-HSIAO",19,3.94,0.41
11010CHE 503000,高等化學反應工程Advanced Chemical Reaction Engineering,"衛子健WEI, TZU-CHIEN",42,4,0.24
11010CHE 507000,化工原理一Chemical Engineering Principles (I),"蔡德豪TSAI, DE-HAO",18,4.03,0.22
11010CHE 509000,書報討論Seminar,"楊東翰YANG, TUNG-HAN",195,3.9,0.35
11010CHE 512100,石油化學工業Petroleum Chemistry,谷家嵩 ,40,3.84,0.43
11010CHE 512600,代謝工程與生質化學品概論Metabolic Engineering and Renewable Chemical Production,"沈若樸SHEN, CLAIRE-ROAPU",12,3.83,0.48
11010CHE 517000,高等程序控制Advanced Process Control,"鄭西顯JANG, SHI-SHANG",11,3.99,0.31
11010CHE 522500,小角度散射原理與應用Principles and Applications of Small Angle Scattering,"陳信龍CHEN, HSIN-LUNG",14,3.65,0.57
11010CHE 525000,化工中的數據科學與人工智慧Data science and artificial intelligence in chemical engineering,"鄭西顯JANG, SHI-SHANG姚遠YAO, YUAN",26,4.01,0.55
11010CHE 533000,同步輻射在物質結構上的應用Synchrotron applications in structural analysis,"鄭有舜JENG, U-SER",24,4.01,0.48
11010CHE 541200,人工器官與組織工程Artificial Organs and Tissue Engineering,"宋信文SUNG, HSING-WEN",27,3.84,0.85
11010CHE 545400,高等高分子化學Advanced Polymer Chemistry,"劉英麟LIU, YING-LING堀江正樹MASAKI HORIE",30,3.57,0.68
11010CHE 554000,微流體系統於化工之應用與實作Microfluidic System: Application and Implementation in Chemical Engineering,"黃振煌HUANG, JEN-HUANG",24,4.15,0.15
11010CHE 579500,有機光電Organic Electronics,"陳壽安CHEN, SHOW-AN",4,4.23,0.13
11010CHEM100001,普通化學乙General Chemistry (B),黃暄益HUANG MICHAEL HSUAN-YI,125,3.35,0.84
11010CHEM100002,普通化學乙General Chemistry (B),"王育恒WANG, YU-HENG",148,3.53,0.94
11010CHEM101001,普通化學一General Chemistry (I),"廖文峯LIAW, WEN-FENG",159,3,1.1
11010CHEM101002,普通化學一General Chemistry (I),"洪嘉呈HORNG, JIA-CHERNG",181,2.35,1.43
11010CHEM101003,普通化學一General Chemistry (I),"黃國柱HWANG, KUO-CHU",164,2.69,1.2
11010CHEM101004,普通化學一General Chemistry (I),"游靜惠YU, CHIN-HUI",31,2.12,1.28
11010CHEM103001,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",56,3.88,0.33
11010CHEM103002,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",59,3.74,0.42
11010CHEM103003,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",58,3.82,0.39
11010CHEM103004,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",58,3.82,0.25
11010CHEM103005,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",66,3.96,0.31
11010CHEM103006,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",60,3.89,0.27
