"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
109上,BME 504200,"合成生物學於再生醫學之應用
Synthetic Biology for Regenerative Medicine","黃玠誠HUANG, CHIEH-CHENG",4,4.3,0.0,BME5042,406432960035488728565787167727369726772697871
109上,BME 504400,"前瞻生物醫學技術概論
Introduction of Frontier Biomedical Technology","裘正健CHIU, JENG-JIANN",9,4.3,0.0,BME5044,35032274912058167727385746978717473657878
109上,BME 504600,"液態生物檢體與轉譯醫學應用
Liquid biopsy and its applications in translational medicine","林幸瑩LIN, HSING-YING",3,4.3,0.0,BME5046,265192418429801767378728373787189737871
109上,BMES 111100,"生醫工程與環境科學導論
Introduction to Biomedical Engineering and Environmental Sciences","許志楧HSU, CHIH-YING
黃郁棻HUANG, YU-FEN",51,3.71,0.41,BMES1111,353772453526983728385677273728973787140643370572687572856578718985706978
109上,BMES 211100,"工程數學一
Engineering Mathematics I","朱麗安CHU, LI-AN",66,2.99,0.87,BMES2111,26417405992343367728576736578
109上,BMES 212100,"機率與統計
Probability and Statistics","陳之碩CHEN, CHI-SHUO",50,3.94,0.95,BMES2121,3851520043308896772697867727383728579
109上,BMES 213300,"電子學一
Electronics I","葉秩光YEH, CHIH-KUANG",47,2.75,1.23,BMES2133,338653120920809896972677273727585657871
109上,BMES 215100,"有機化學一
Organic Chemistry (I)","俞鐘山YU, CHUNG-SHAN",59,2.71,1.14,BMES2151,2044637912236658985677285787183726578
109上,BMES 312101,"生醫電子與儀器實驗
Biomedical Electronics and Instrumentation Laboratory","陳之碩CHEN, CHI-SHUO
許志楧HSU, CHIH-YING",12,4.09,0.46,BMES3121,38515200433088967726978677273837285793537724535269837283856772737289737871
109上,BMES 312102,"生醫電子與儀器實驗
Biomedical Electronics and Instrumentation Laboratory","葉秩光YEH, CHIH-KUANG",24,4.28,0.08,BMES3121,338653120920809896972677273727585657871
109上,BMES 316100,"生物化學一
Biochemistry I","邱信程CHIU, HSIN-CHENG",34,3.68,1.18,BMES3161,37041204493124367727385728373786772697871
109上,BMES 318100,"專題研究一
Undergraduate Research (I)",指導教授,21,4.23,0.13,BMES3181,25351235662594525480
109上,BMES 323100,"數值方法
Numerical Methods","劉耕谷LIU, KENG-KU",7,4.17,0.22,BMES3231,211293278935895767385756978717585
109上,BMES 327200,"生醫材料
Biomedical Materials","胡尚秀HU, SHANG-HSIU",15,3.63,1.18,BMES3272,3299323578311687285837265787172837385
109上,BMES 337100,"物理化學一
Physical Chemistry (I)","吳劍侯WU, CHIEN-HOU",12,3.14,0.98,BMES3371,21555211332039987856772736978727985
109上,BMES 343100,"醫學儀器
Medical Instrumentation","彭旭霞PENG, HSU-HSIA",15,3.85,0.56,BMES3431,2442926093386868069787172838572837365
109上,BMES 411100,"書報討論
Seminar","劉耕谷LIU, KENG-KU",24,4.15,0.19,BMES4111,211293278935895767385756978717585
109上,BMES 418100,"專題研究三
Undergraduate Research (III)",指導教授,13,4.3,0.0,BMES4181,25351235662594525480
109上,BMES 420200,"放射化學
Radiochemistry","張智偉CHANG, CHIH-WEI",27,3.19,1.15,BMES4202,243732623420553677265787167727372876973
109上,BMES 423100,"分子細胞生物學
Molecular and Cellular Biology","張建文CHANG, CHIEN-WEN",29,3.48,0.87,BMES4231,24373243142599167726578716772736978876978
109上,BMES 433100,"全球能源短缺衝擊
Impact of Global Energy Shortage","鍾堅CHUNG, CHIEN",88,3.29,0.84,BMES4331,377582253367728578716772736978
109上,BMES 441100,"臨床醫學影像概論
Introduction of medical imaging","楊菁華YANG, CHIN-HUA",51,4.15,0.29,BMES4411,2695433729337758965787167727378728565
109上,BMES 441200,"放射物理
Radiation Physics","許芳裕HSU, FANG-YUH",58,3.8,0.56,BMES4412,35377334593502972838570657871898572
109上,BMES 442100,"生醫訊號與系統
Biomedical Signals and Systems","許靖涵HSU, CHING-HAN",19,3.52,0.78,BMES4421,3537738742280857283856772737871726578
109上,BMES 500000,"專題演講
Colloquium","彭旭霞PENG, HSU-HSIA
李亦淇LEE, I-CHI",115,4.3,0.0,BMES5000,244292609338686806978717283857283736526446201342810376696973677273
109上,BMES 511101,"書報討論-分子生醫工程與材料
Seminar：Molecular Biomedical Engineering and Materials","李亦淇LEE, I-CHI",30,4.3,0.0,BMES5111,26446201342810376696973677273
109上,BMES 511103,"書報討論-生醫影像工程
Seminar：Biomedical Imaging Engineering","彭旭霞PENG, HSU-HSIA",20,4.18,0.17,BMES5111,2442926093386868069787172838572837365
109上,BMES 512100,"碩士班專題研究一
MS Graduate Research (I)",指導教授,48,4.17,0.17,BMES5121,25351235662594525480
109上,BMES 520100,"分子生醫基礎
Introduction to Molecular Biomedicine","莊淳宇CHUANG, CHUN-YU",30,3.21,0.9,BMES5201,336742814723431677285657871677285788985
109上,BMES 523100,"基因晶片及其生醫應用
Gene Chips and Its Biomedical Applications","許志楧HSU, CHIH-YING",19,3.17,0.93,BMES5231,3537724535269837283856772737289737871
109上,BMES 523500,"器官晶片與人工器官設計與應用
Design and Application of Organ on a Chip and Bioartificial Organ","李亦淇LEE, I-CHI",16,3.83,0.44,BMES5235,26446201342810376696973677273
109上,BMES 545500,"精準醫學暨臨床應用
Clinical applications of precision medicine","楊晶安YANG, CHIN-AN",8,4.0,0.21,BMES5455,26954262302343389657871677273786578
109上,BMES 546300,"生醫影像處理
Biomedical Image Processing","許靖涵HSU, CHING-HAN",31,3.59,0.75,BMES5463,3537738742280857283856772737871726578
109上,BMES 546700,"核磁共振影像原理及應用
Magnetic Resonance Imaging Principles and Applications","彭旭霞PENG, HSU-HSIA",11,3.78,0.54,BMES5467,2442926093386868069787172838572837365
109上,BMES 611101,"專題書報討論-分子生醫工程與材料
Seminar：Molecular Biomedical Engineering and Materials","李亦淇LEE, I-CHI",25,4.24,0.17,BMES6111,26446201342810376696973677273
109上,BMES 611103,"專題書報討論-生醫影像工程
Seminar：Biomedical Imaging Engineering","彭旭霞PENG, HSU-HSIA",13,4.18,0.15,BMES6111,2442926093386868069787172838572837365
109上,BMES 622100,"輻射生物學
Radiation Biology","江啟勳CHIANG, CHI-SHIUN",22,3.37,0.48,BMES6221,2774321855212356772736578716772738372738578
109上,BMES 711100,"專題書報討論
Seminar","黃郁棻HUANG, YU-FEN",24,4.11,0.19,BMES7111,40643370572687572856578718985706978
109上,BMES 712100,"博士班專題研究一
PhD Graduate Research (I)",指導教授,10,4.18,0.2,BMES7121,25351235662594525480
109上,CHE 116000,"化學工程導論
Introduction to Chemical Engineering","劉英麟LIU, YING-LING",71,4.07,0.17,CHE1160,2112933521406077673858973787176737871
109上,CHE 211001,"工程數學一
Engineering Mathematics I","呂世源LU, SHIH-YUAN",45,2.11,1.31,CHE2110,21570199902830476858372737289856578
109上,CHE 211002,"工程數學一
Engineering Mathematics I","姚遠YAO, YUAN",32,2.5,1.23,CHE2110,230023696089657989856578
109上,CHE 241001,"物理化學一
Physical Chemistry (I)","段興宇TUAN, HSING-YU",29,3.48,1.07,CHE2410,2757333288234318485657872837378718985
109上,CHE 241002,"物理化學一
Physical Chemistry (I)","王潔WANG, JANE",34,3.76,0.71,CHE2410,29579285008765787174657869
109上,CHE 301000,"能源科技與環境概論
Introduction to Energy Technology and Environment","段興宇TUAN, HSING-YU",59,3.91,0.8,CHE3010,2757333288234318485657872837378718985
109上,CHE 303001,"化工熱力學
Chemical Engineering Thermodynamics","陳信文CHEN, SINN-WEN",36,3.23,1.44,CHE3030,3851520449259916772697883737878876978
109上,CHE 303002,"化工熱力學
Chemical Engineering Thermodynamics","何榮銘HO, RONG-MING",34,3.41,0.87,CHE3030,20309270543752872798279787177737871
109上,CHE 307000,"化學反應工程
Chemical Reaction Engineering","衛子健WEI, TZU-CHIEN",72,3.77,0.99,CHE3070,3490723376205818769738490856772736978
109上,CHE 309001,"儀器分析及實驗一
Instrumental Analysis and Lab.(I)",堀江正樹MASAKI HORIE,29,3.64,0.94,CHE3090,225282774327491271937765836575737279827369
109上,CHE 309002,"儀器分析及實驗一
Instrumental Analysis and Lab.(I)","劉英麟LIU, YING-LING",29,3.52,0.78,CHE3090,2112933521406077673858973787176737871
109上,CHE 352001,"輸送現象及單元操作一
Transport Phenomena and Unit Operations(I)","黃振煌HUANG, JEN-HUANG",25,3.23,1.18,CHE3520,40643253912900472856578717469787285657871
109上,CHE 352002,"輸送現象及單元操作一
Transport Phenomena and Unit Operations(I)","陳信龍CHEN, HSIN-LUNG",37,3.14,0.96,CHE3520,385152044940845677269787283737876857871
109上,CHE 412000,"材料科學
Materials Science","陳信文CHEN, SINN-WEN",9,3.78,0.41,CHE4120,3851520449259916772697883737878876978
109上,CHE 415001,"程序設計
Process Design","汪上曉WONG, SHANG-HSIAO",31,4.09,0.32,CHE4150,2775419978263138779787183726578717283736579
109上,CHE 415002,"程序設計
Process Design","潘詠庭PAN, YUNG-TIN",34,3.94,0.12,CHE4150,28504354242423780657889857871847378
109上,CHE 421001,"單元操作實驗
Unit Operation Laboratory","朱一民CHU, I-MIN",36,3.89,0.28,CHE4210,26417199682766567728573777378
109上,CHE 421002,"單元操作實驗
Unit Operation Laboratory","潘詠庭PAN, YUNG-TIN",28,3.9,0.24,CHE4210,28504354242423780657889857871847378
109上,CHE 453000,"全球氣候變遷
Climate Change","談駿嵩TAN, CHUNG-SUNG",51,4.01,0.49,CHE4530,355273942323913846578677285787183857871
109上,CHE 455200,"生物技術概論
Introduction to Biotechnology","胡育誠HU, YU-CHEN",15,3.21,1.41,CHE4552,3299332946354887285898567726978
109上,CHE 495000,"專題研究一
Undergraduate Research (I)",指導教授,6,4.3,0.0,CHE4950,25351235662594525480
109上,CHE 496000,"專題研究二
Undergraduate Research (II)",指導教授,25,4.29,0.06,CHE4960,25351235662594525480
109上,CHE 500100,"分子工程一
Molecular Engineering (I)","周鶴修CHOU, HO-HSIU",13,4.01,0.4,CHE5001,21608403722046267727985727972837385
109上,CHE 501000,"高等化工熱力學
Advanced Chem. Engineering Thermodynamics","汪上曉WONG, SHANG-HSIAO",14,4.0,0.11,CHE5010,2775419978263138779787183726578717283736579
109上,CHE 503000,"高等化學反應工程
Advanced Chemical Reaction Engineering","朱一民CHU, I-MIN",37,4.06,0.21,CHE5030,26417199682766567728573777378
109上,CHE 507000,"化工原理一
Chemical Engineering Principles (I)","蔡德豪TSAI, DE-HAO",8,4.06,0.32,CHE5070,340812450335946848365736869726579
109上,CHE 509000,"書報討論
Seminar","沈若樸SHEN, CLAIRE-ROAPU",171,4.23,0.18,CHE5090,277843350927192837269786776657382698279658085
109上,CHE 512100,"石油化學工業
Petroleum Chemistry",谷家嵩 ,43,3.92,0.32,CHE5121,358952347823913
109上,CHE 512200,"綠能發展與環境控制
Green Energy Development and Environmental Control","盧文章LU, WEN-CHANG",50,3.99,0.52,CHE5122,30439259913145676858769786772657871
109上,CHE 512600,"代謝工程與生質化學品概論
Metabolic Engineering and Renewable Chemical Production","沈若樸SHEN, CLAIRE-ROAPU",7,3.96,0.25,CHE5126,277843350927192837269786776657382698279658085
109上,CHE 517000,"高等程序控制
Advanced Process Control","鄭西顯JANG, SHI-SHANG",8,4.04,0.28,CHE5170,371653519939023746578718372738372657871
109上,CHE 522500,"小角度散射原理與應用
Principles and Applications of Small Angle Scattering","陳信龍CHEN, HSIN-LUNG",30,3.83,0.69,CHE5225,385152044940845677269787283737876857871
109上,CHE 533000,"同步輻射在物質結構上的應用
Synchrotron applications in structural analysis","鄭有舜JENG, U-SER",16,4.06,0.37,CHE5330,3716526377333087469787185836982
109上,CHE 541200,"人工器官與組織工程
Artificial Organs and Tissue Engineering","宋信文SUNG, HSING-WEN",25,4.05,0.39,CHE5412,234352044925991838578717283737871876978
109上,CHE 545400,"高等高分子化學
Advanced Polymer Chemistry","劉英麟LIU, YING-LING
堀江正樹MASAKI HORIE",26,3.72,0.64,CHE5454,2112933521406077673858973787176737871225282774327491271937765836575737279827369
109上,CHE 554000,"微流體系統於化工之應用與實作
Microfluidic System: Application and Implementation in Chemical Engineering","黃振煌HUANG, JEN-HUANG",20,4.12,0.15,CHE5540,40643253912900472856578717469787285657871
109上,CHE 579500,"有機光電
Organic Electronics","陳壽安CHEN, SHOW-AN",5,3.78,0.53,CHE5795,38515227812343367726978837279876578
109上,CHEM 100001,"普通化學乙
General Chemistry (B)",黃暄益HUANG MICHAEL HSUAN-YI,127,3.57,0.88,CHEM1000,40643262443041072856578717773677265697672838565788973
109上,CHEM 100002,"普通化學乙
General Chemistry (B)","王素蘭WANG, SUE-LEIN",131,3.08,1.13,CHEM1000,2957932032343498765787183856976697378
109上,CHEM 101001,"普通化學一
General Chemistry (I)","廖文峯LIAW, WEN-FENG",152,2.91,1.15,CHEM1010,2427825991237917673658787697870697871
109上,CHEM 101002,"普通化學一
General Chemistry (I)","洪嘉呈HORNG, JIA-CHERNG",177,2.16,1.33,CHEM1010,2794622025215767279827871747365677269827871
109上,CHEM 101003,"普通化學一
General Chemistry (I)","黃國柱HWANG, KUO-CHU",159,2.95,1.22,CHEM1010,4064322283266097287657871758579677285
109上,CHEM 101004,"普通化學一
General Chemistry (I)","游靜惠YU, CHIN-HUI",22,1.88,1.03,CHEM1010,282163874824800898567727378728573
109上,CHEM 103001,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",56,3.86,0.47,CHEM1030,2427832714385977673657989738965
109上,CHEM 103002,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",51,3.6,0.52,CHEM1030,2427832714385977673657989738965
109上,CHEM 103003,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",61,3.71,0.45,CHEM1030,2427832714385977673657989738965
109上,CHEM 103004,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",66,3.72,0.56,CHEM1030,2427832714385977673657989738965
109上,CHEM 103005,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",62,3.83,0.67,CHEM1030,2427832714385977673657989738965
109上,CHEM 103006,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",60,3.83,0.43,CHEM1030,2427832714385977673657989738965
109上,CHEM 103007,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",57,3.8,0.67,CHEM1030,2427832714385977673657989738965
109上,CHEM 103008,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",54,3.6,0.47,CHEM1030,2427832714385977673657989738965
109上,CHEM 103009,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",56,3.53,0.46,CHEM1030,2427832714385977673657989738965
109上,CHEM 103010,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",60,3.46,0.63,CHEM1030,2427832714385977673657989738965
109上,CHEM 103011,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",53,3.55,0.47,CHEM1030,2427832714385977673657989738965
109上,CHEM 221001,"有機化學一
Organic Chemistry (I)","汪炳鈞UANG, BIING-JIUN",75,2.93,1.36,CHEM2210,27754288513740685657871667373787174738578
109上,CHEM 221002,"有機化學一
Organic Chemistry (I)","韓建中HAN, CHIEN-CHUNG",160,3.67,0.92,CHEM2210,38867243142001372657867727369786772857871
109上,CHEM 223001,"有機化學實驗一
Organic Chemistry Laboratory(I)","涂育瑋TU, YU-WEI",23,3.78,0.44,CHEM2230,28034329462977184858985876973
109上,CHEM 223002,"有機化學實驗一
Organic Chemistry Laboratory(I)","涂育瑋TU, YU-WEI",36,3.76,0.52,CHEM2230,28034329462977184858985876973
109上,CHEM 223003,"有機化學實驗一
Organic Chemistry Laboratory(I)","涂育瑋TU, YU-WEI",40,3.91,0.3,CHEM2230,28034329462977184858985876973
109上,CHEM 223004,"有機化學實驗一
Organic Chemistry Laboratory(I)","涂育瑋TU, YU-WEI",34,3.59,0.6,CHEM2230,28034329462977184858985876973
109上,CHEM 241001,"物理化學一
Physical Chemistry (I)","陳益佳CHEN, I-CHIA",85,2.24,1.25,CHEM2410,385153041020339677269787367727365
109上,CHEM 293000,"應用數學
Applied Mathematics","江昀緯CHIANG, YUN-WEI",62,2.89,1.37,CHEM2930,277432611232239677273657871898578876973
109上,CHEM 310000,"有機化學三
Organic Chemistry(III)","林俊成LIN, CHUN-CHENG",17,3.19,1.21,CHEM3100,265192042625104767378677285786772697871
109上,CHEM 311000,"分析化學一
Analytical Chemistry (I)","陳貴通TAN, KUI THONG",71,3.09,1.2,CHEM3110,3851536020368908465787585738472797871
109上,CHEM 313001,"分析化學實驗一
Analytical Chemistry Laboratory (I)","廖英孝LIAO, YING-HSIAO",28,4.05,0.32,CHEM3130,24278335212338976736579897378717283736579
109上,CHEM 313002,"分析化學實驗一
Analytical Chemistry Laboratory (I)","廖英孝LIAO, YING-HSIAO",32,3.85,0.42,CHEM3130,24278335212338976736579897378717283736579
109上,CHEM 331000,"無機化學一
Inorganic Chemistry (I)","黃暄益HUANG MICHAEL HSUAN-YI
彭之皓PENG, CHI-HOW",75,2.94,1.29,CHEM3310,4064326244304107285657871777367726569767283856578897324429200433035580697871677273727987
109上,CHEM 337000,"材料化學導論
Introduction to Materials Chemistry","王素蘭WANG, SUE-LEIN",44,3.46,0.73,CHEM3370,2957932032343498765787183856976697378
109上,CHEM 343000,"物理化學三
Physical Chemistry (III)","楊家銘YANG, CHIA-MIN",29,2.63,1.6,CHEM3430,2695423478375288965787167727365777378
