course_ID_full_orig,course_ID,course_num,department,course_title_zh,course_title_eng,credit_unit,limit,new_only,gen_cat,language,room_and_time_orig,time,building,instructor,memo,prerequisite,limitation,speciality,program,extra_enrollment,required_or_elective
11110PE  111022,PE 111022,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"林琨瀚	LIN, KUN-HAN",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限材料系大學部1年級清班,--,--,O 接受 Allowed,材料系111BA必修
11110PE  111023,PE 111023,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,聘任中	,集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限材料系大學部1年級華班,--,--,O 接受 Allowed,材料系111BB必修
11110PE  111024,PE 111024,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"施惠方	SZU, HUI-FANG",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限動機系大學部1年級清班,--,--,O 接受 Allowed,動機系111BA必修
11110PE  111025,PE 111025,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"謝文偉	HSIEH, WEN-WEI",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限動機系大學部1年級華班,--,--,O 接受 Allowed,動機系111BB必修
11110PE  111026,PE 111026,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"許仁豪	HSU,JEN-HAO",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限工學院學士班大學部1年級,--,--,O 接受 Allowed,工學院學士班111B必修
11110PE  111027,PE 111027,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"王嬿婷	WANG, YEN-TING",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限電資院學士班大學部1年級,--,--,O 接受 Allowed,電資院學士班111B必修
11110PE  111028,PE 111028,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"施惠方	SZU, HUI-FANG",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限資工系大學部1年級清班,--,--,O 接受 Allowed,資工系111BA必修
11110PE  111029,PE 111029,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,聘任中	,集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限資工系大學部1年級華班,--,--,O 接受 Allowed,資工系111BB必修
11110PE  111030,PE 111030,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"林琨瀚	LIN, KUN-HAN",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限資工系大學部1年級梅班,--,--,O 接受 Allowed,資工系111BC必修
11110PE  111031,PE 111031,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"戴偉國	TAI, WEI-KUO",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限電機系大學部1年級清班,--,--,O 接受 Allowed,電機系111BA必修
