0,1,2,3,4,5
10910AES 510000,專題演講Colloquium,"吳劍侯WU, CHIEN-HOU",38,4.18,0.35
10910AES 510100,碩士班專題研究MS Graduate Research,指導教授,34,4.02,0.27
10910AES 511100,書報討論Seminar,"吳劍侯WU, CHIEN-HOU",19,3.6,0.45
10910AES 520100,環境分析化學Environmental Analytical Chemistry,"黃郁棻HUANG, YU-FEN",27,3.7,0.82
10910AES 520400,生態與健康Ecohealth,"楊樹森YANG, SHU-SEN周秀專CHOU, HSIU-CHUAN",17,3.63,0.44
10910AES 530100,空氣品質量測Air quality characterization,"林采吟LIN, TSAI-YIN",19,3.91,0.33
10910AES 530200,表面分析技術Surface Analysis Techniques,"周子勤CHOU, TSU-CHIN",6,3.85,0.15
10910AES 530300,環境微生物檢驗分析技術Inspection and examination technology of environmental microorganisms,"李清福LEE, CHING-FU",12,3.99,0.29
10910AES 550200,當代環境醫學特論一Specific Topic for Contemporary Environmental Medicine (I),"周秀專CHOU, HSIU-CHUAN",5,4.06,0.12
10910AES 570100,廢棄物與處理Waste Management and Treatment,"王竹方WANG, CHU-FANG",42,3.73,0.68
10910AES 570400,環境奈米與水處理Environmental Nanotechnology for Water Treatment,"董瑞安DOONG, RUEY-AN",13,4.07,0.21
10910AES 611100,專題書報討論Seminar,"吳劍侯WU, CHIEN-HOU",19,3.93,0.26
10910ANTH651000,文化人類學專題Special Topics in Cultural Anthropology,"呂玫鍰LU, MEI-HUAN",12,3.93,0.25
10910ANTH653000,漢人社會與文化Society and Culture of Han Chinese,"方怡潔FANG, I-CHIEH",9,3.81,0.35
10910ANTH654100,文化田野實習Fieldwork Training,"林浩立LIN, HAO-LI",5,4,0.27
10910ANTH670700,都市人類學Urban Anthropology,許瀞文CHING-WEN HSU,5,3.94,0.12
10910ANTH674200,台灣史前文化Prehistoric culture of Taiwan,"邱鴻霖CHIU, HUNG-LIN",6,4.15,0.15
10910ANTH675800,永續社區發展Sustainable Community Development,"林浩立LIN, HAO-LI",8,3.33,1.36
10910ANTH676600,想像人類學Anthropology of Imaginary,"李威宜LEE, WEI-I",16,3.76,0.5
10910ANTH677000,考古田野實習Field Archaeology,謝艾倫ELLEN HSIEH,6,4,0
10910ANTH678000,公眾考古學Public Archaeology,謝艾倫ELLEN HSIEH,13,4.07,0.21
10910ANTH678100,"食物人類學Food, Culture, and Society","高進榮GALIPEAU, BRENDAN ARTHUR",3,3.57,0.61
10910ASTR510000,恒星天文物理學Stellar Astrophysics,"潘國全PAN, KUO-CHUAN",7,3.49,0.89
10910ASTR591000,專題演講一Colloquium (I),"楊湘怡YANG, HSIANG-YI",13,3.72,0.41
10910ASTR600600,天文文獻研討Literature Review of Astronomy Research,"後藤友嗣GOTO, TOMOTSUGU",8,4.3,0
10910ASTR610000,天文觀測Observational Astronomy,"賴詩萍LAI, SHIH-PING",13,3.99,0.26
10910ASTR630000,電波天文學Radio Astronomy,"陳惠茹CHEN, HUEI-RU",14,3.69,0.68
10910ASTR640000,宇宙論Cosmology,"安德魯˙古柏COOPER, ANDREW PAUL",12,3.54,0.42
10910BME 400100,專題研究Undergraduate Research,指導教授,10,4.3,0
10910BME 500400,書報討論Seminar,"萬德輝WAN, DE-HUI",35,4.05,0.17
10910BME 500800,癌症生物學與治療Cancer Biology and Therapy,"陳韻晶CHEN, YUN-CHING",12,3.77,1.16
10910BME 500900,人工器官與組織工程Artificial Organs and Tissue Engineering,"宋信文SUNG, HSING-WEN",15,3.73,0.57
10910BME 501800,先進生物顯影技術Advanced Bioimaging Technologies,"林宗宏LIN, ZONG-HONG",9,3.93,0.24
10910BME 501900,微機電奈米感測器Microelectromechanical Sensor,"林宗宏LIN, ZONG-HONG",11,3.95,0.17
10910BME 502400,奈米生醫材料Nano-/Bio-materials,"鄭兆珉CHENG, CHAO-MIN",6,4.15,0.15
10910BME 502600,醫療器材設計與開發實務Practical Skills of the Design and Development of Medical Devices,"王明哲WANG, MING-CHE",15,4.14,0.19
10910BME 503600,奈米光學材料Optical Nanomaterials,"萬德輝WAN, DE-HUI",5,4,0.19
10910BME 503900,應用細胞生物工程學Applied Cellular Bioengineering,"黃玠誠HUANG, CHIEH-CHENG",19,4.27,0.09
10910BME 504000,金屬生物醫藥與生醫材料Metal-based biomedicine and biomaterials,"魯才德LU, TSAI-TE",22,3.95,0.4
10910BME 504200,合成生物學於再生醫學之應用Synthetic Biology for Regenerative Medicine,"黃玠誠HUANG, CHIEH-CHENG",4,4.3,0
10910BME 504400,前瞻生物醫學技術概論Introduction of Frontier Biomedical Technology,"裘正健CHIU, JENG-JIANN",9,4.3,0
10910BME 504600,液態生物檢體與轉譯醫學應用Liquid biopsy and its applications in translational medicine,"林幸瑩LIN, HSING-YING",3,4.3,0
10910BMES111100,生醫工程與環境科學導論Introduction to Biomedical Engineering and Environmental Sciences,"許志楧HSU, CHIH-YING黃郁棻HUANG, YU-FEN",51,3.71,0.41
10910BMES211100,工程數學一Engineering Mathematics I,"朱麗安CHU, LI-AN",66,2.99,0.87
10910BMES212100,機率與統計Probability and Statistics,"陳之碩CHEN, CHI-SHUO",50,3.94,0.95
10910BMES213300,電子學一Electronics I,"葉秩光YEH, CHIH-KUANG",47,2.75,1.23
10910BMES215100,有機化學一Organic Chemistry (I),"俞鐘山YU, CHUNG-SHAN",59,2.71,1.14
10910BMES312101,生醫電子與儀器實驗Biomedical Electronics and Instrumentation Laboratory,"陳之碩CHEN, CHI-SHUO許志楧HSU, CHIH-YING",12,4.09,0.46
10910BMES312102,生醫電子與儀器實驗Biomedical Electronics and Instrumentation Laboratory,"葉秩光YEH, CHIH-KUANG",24,4.28,0.08
10910BMES316100,生物化學一Biochemistry I,"邱信程CHIU, HSIN-CHENG",34,3.68,1.18
10910BMES318100,專題研究一Undergraduate Research (I),指導教授,21,4.23,0.13
10910BMES323100,數值方法Numerical Methods,"劉耕谷LIU, KENG-KU",7,4.17,0.22
10910BMES327200,生醫材料Biomedical Materials,"胡尚秀HU, SHANG-HSIU",15,3.63,1.18
10910BMES337100,物理化學一Physical Chemistry (I),"吳劍侯WU, CHIEN-HOU",12,3.14,0.98
10910BMES343100,醫學儀器Medical Instrumentation,"彭旭霞PENG, HSU-HSIA",15,3.85,0.56
10910BMES411100,書報討論Seminar,"劉耕谷LIU, KENG-KU",24,4.15,0.19
10910BMES418100,專題研究三Undergraduate Research (III),指導教授,13,4.3,0
10910BMES420200,放射化學Radiochemistry,"張智偉CHANG, CHIH-WEI",27,3.19,1.15
10910BMES423100,分子細胞生物學Molecular and Cellular Biology,"張建文CHANG, CHIEN-WEN",29,3.48,0.87
10910BMES433100,全球能源短缺衝擊Impact of Global Energy Shortage,"鍾堅CHUNG, CHIEN",88,3.29,0.84
10910BMES441100,臨床醫學影像概論Introduction of medical imaging,"楊菁華YANG, CHIN-HUA",51,4.15,0.29
10910BMES441200,放射物理Radiation Physics,"許芳裕HSU, FANG-YUH",58,3.8,0.56
10910BMES442100,生醫訊號與系統Biomedical Signals and Systems,"許靖涵HSU, CHING-HAN",19,3.52,0.78
10910BMES500000,專題演講Colloquium,"彭旭霞PENG, HSU-HSIA李亦淇LEE, I-CHI",115,4.3,0
10910BMES511101,書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"李亦淇LEE, I-CHI",30,4.3,0
10910BMES511103,書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"彭旭霞PENG, HSU-HSIA",20,4.18,0.17
10910BMES512100,碩士班專題研究一MS Graduate Research (I),指導教授,48,4.17,0.17
10910BMES520100,分子生醫基礎Introduction to Molecular Biomedicine,"莊淳宇CHUANG, CHUN-YU",30,3.21,0.9
