0,1,2,3,4,5
10920BMES432200,全球暖化與環境衝擊Global Warming and Environmental Impact,"鍾堅CHUNG, CHIEN",70,3.56,0.65
10920BMES500000,專題演講Colloquium,"劉耕谷LIU, KENG-KU許靖涵HSU, CHING-HAN",109,4.3,0
10920BMES511201,書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"劉耕谷LIU, KENG-KU",31,4.3,0
10920BMES511203,書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"許靖涵HSU, CHING-HAN",21,4,0
10920BMES512200,碩士班專題研究二MS Graduate Research (II),指導教授,50,4.23,0.13
10920BMES522100,生醫光電基礎Fundamentals of Biophotonics,"陳之碩CHEN, CHI-SHUO",11,3.73,0.46
10920BMES525100,藥物控制釋放Drug Controlled Release,"邱信程CHIU, HSIN-CHENG",13,4.09,0.25
10920BMES526100,奈米生醫導論Introduction to Nanobiotechnology,"許志楧HSU, CHIH-YING",8,3.93,0.25
10920BMES526600,生醫高分子應用Polymer for Bio-Applications,"胡尚秀HU, SHANG-HSIU",28,3.89,0.43
10920BMES527400,生醫流行病與環境毒理學Biomedical Epidemiology and Environmental Toxicology,"莊淳宇CHUANG, CHUN-YU",8,3.44,0.58
10920BMES528400,分子影像藥物Molecular Imaging Pharmaceuticals,"張智偉CHANG, CHIH-WEI",31,3.93,0.35
10920BMES542400,幹細胞與組織工程Stem Cell and Tissue Engineering,"張建文CHANG, CHIEN-WEN",25,3.87,0.21
10920BMES545600,臨床需求研發與生醫創新專題Biodesign for clinical unmet need,"陳自諒CHEN, TZU-LIANG阮春榮JUAN, CHUN-JUNG",6,4.05,0.21
10920BMES546600,數位生物醫學顯微影像技術Digital biomedical microscopy technology,"朱麗安CHU, LI-AN",21,4.13,0.24
10920BMES547500,深度學習之生醫影像分析Deep Learning in Biomedical Image Analysis,"許靖涵HSU, CHING-HAN",42,3.98,0.72
10920BMES611201,專題書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"劉耕谷LIU, KENG-KU",24,4.3,0
10920BMES611203,專題書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"許靖涵HSU, CHING-HAN",13,4,0
10920BMES626300,放射化學特論Special Topics in Radiochemistry,"俞鐘山YU, CHUNG-SHAN",7,3.86,0.53
10920BMES711200,專題書報討論Seminar,"李亦淇LEE, I-CHI",20,3.95,0.35
10920BMES712200,博士班專題研究二PhD Graduate Research (II),指導教授,11,4.19,0.19
10920CHE 114001,質能均衡Material and Energy Balance,"沈若樸SHEN, CLAIRE-ROAPU",37,3.73,1.05
10920CHE 114002,質能均衡Material and Energy Balance,"宋信文SUNG, HSING-WEN",35,3.5,0.73
10920CHE 212001,工程數學二Engineering Mathematics II,"呂世源LU, SHIH-YUAN",25,3.29,1.05
10920CHE 212002,工程數學二Engineering Mathematics II,"周鶴修CHOU, HO-HSIU",41,3.68,0.54
10920CHE 240100,資訊系統應用Computer Systems & Applications,"姚遠YAO, YUAN",59,3.3,0.97
10920CHE 242001,物理化學二Physical Chemistry (II),堀江正樹MASAKI HORIE,28,3.56,1.03
10920CHE 242002,物理化學二Physical Chemistry (II),"王潔WANG, JANE",30,3.94,0.41
10920CHE 305001,程序控制Process Control,"鄭西顯JANG, SHI-SHANG",28,2.45,1.33
10920CHE 305002,程序控制Process Control,"姚遠YAO, YUAN",42,3.08,1.17
10920CHE 306001,化工單操Chemical Engineering Unit Operations,"汪上曉WONG, SHANG-HSIAO",26,3.98,0.41
10920CHE 306002,化工單操Chemical Engineering Unit Operations,"蔡德豪TSAI, DE-HAO",38,3.91,0.71
10920CHE 353001,輸送現象及單元操作二Transport Phenomena and Unit Operations(II),"黃振煌HUANG, JEN-HUANG",26,3.25,0.72
10920CHE 353002,輸送現象及單元操作二Transport Phenomena and Unit Operations(II),"陳信龍CHEN, HSIN-LUNG",36,3.16,0.94
10920CHE 373000,基礎高分子科學Fundamental Polymer Science,"劉英麟LIU, YING-LING陳信龍CHEN, HSIN-LUNG",7,4.04,0.3
10920CHE 413100,基礎電化學及實驗Fundamental Electrochemical Principles and Experiments,"衛子健WEI, TZU-CHIEN",8,4.08,0.25
10920CHE 431200,電子構裝技術與材料Electronic Packaging technology and materials,"陳信文CHEN, SINN-WEN",10,3.86,0.42
10920CHE 494000,光電材料與元件基礎Fundamentals of Optoelectronic Materials and Devices,"段興宇TUAN, HSING-YU堀江正樹MASAKI HORIE",38,3.87,0.78
10920CHE 495000,專題研究一Undergraduate Research (I),指導教授,28,4.29,0.06
10920CHE 496000,專題研究二Undergraduate Research (II),指導教授,5,4.3,0
10920CHE 500200,分子工程二Molecular Engineering (II),"周鶴修CHOU, HO-HSIU",9,4.09,0.34
10920CHE 505000,高等輸送現象Advanced Transport Phenomena,"潘詠庭PAN, YUNG-TIN",5,3.98,0.5
10920CHE 508000,化工原理二Chemical Engineering Principles (II),"段興宇TUAN, HSING-YU楊東翰YANG, TUNG-HAN",13,4.02,0.34
10920CHE 510000,書報討論Seminar,"楊東翰YANG, TUNG-HAN",115,3.83,0.23
10920CHE 512000,電化學分析技術與應用Electrochemical Analytical Techniques and Applications,"胡啟章HU, CHI-CHANG",19,3.96,0.33
10920CHE 512100,石油化學工業Petroleum Chemistry,谷家嵩 ,48,3.73,0.51
10920CHE 512500,實驗設計與品質工程Experimental Design and Quality Engineering,"胡啟章HU, CHI-CHANG",20,3.83,0.54
10920CHE 515200,化學產品創意設計Creative Design and Development of Chemical Products,盧詩磊 ,45,4.05,0.24
10920CHE 518000,高分子生物材料Macromolecules as Biomaterials,"王潔WANG, JANE",24,4.18,0.15
10920CHE 524000,數據科學與決策科技Data Science and Decision Technology,"張良志CHANG, LIANG-JYH",18,3.99,0.3
10920CHE 545200,高分子分析技術Polymer Characterization,"何榮銘HO, RONG-MING",15,4.07,0.32
10920CHE 546500,高等高分子物理Special Topics in Condensed Polymer Physics,"陳信龍CHEN, HSIN-LUNG何榮銘HO, RONG-MING",19,3.48,0.76
10920CHE 549000,高分子加工Polymer Processing,"張榮語CHANG, RONG-YEU",4,4.15,0.15
10920CHE 555000,膠體界面科學與科技特論Introduction to Colloid and Interface Science & Technology,"蔡德豪TSAI, DE-HAO",20,4.05,0.26
10920CHE 575000,材料相平衡Phase Equilibria of Materials,"陳信文CHEN, SINN-WEN",3,4,0
10920CHE 576000,奈米材料合成與鑑定Synthesis and Characterization of Nanomaterials,"楊東翰YANG, TUNG-HAN",29,4.13,0.22
10920CHE 582000,電化學能源Electrochemical Energy Storage and Conversion,"衛子健WEI, TZU-CHIEN",41,4.04,0.24
10920CHE 589000,工業微生物學Industrial Microbiology,"朱一民CHU, I-MIN",8,4.23,0.13
10920CHE 592200,藥物傳輸特論Special Topics on Drug Delivery,"朱一民CHU, I-MIN",31,4.17,0.33
10920CHEM102001,普通化學二General Chemistry (II),"朱立岡CHU, LI-KANG",125,2.58,1.2
10920CHEM102002,普通化學二General Chemistry (II),"洪嘉呈HORNG, JIA-CHERNG",157,2.14,1.31
10920CHEM102003,普通化學二General Chemistry (II),"黃國柱HWANG, KUO-CHU",162,3.64,0.71
10920CHEM103001,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",57,3.57,0.35
10920CHEM103002,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",58,3.53,0.57
10920CHEM104001,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",57,3.89,0.28
10920CHEM104002,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",52,3.76,0.3
10920CHEM104003,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",48,3.7,0.28
10920CHEM104004,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",44,3.65,0.81
10920CHEM104005,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",60,3.95,0.26
10920CHEM104006,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",56,3.8,0.43
10920CHEM104007,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",58,3.77,0.56
10920CHEM104008,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",53,3.7,0.52
10920CHEM104009,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",51,3.66,0.74
10920CHEM222001,有機化學二Organic Chemistry (II),"陳建添CHEN, CHIEN-TIEN",75,3.71,1.02
10920CHEM222002,有機化學二Organic Chemistry (II),"王聖凱WANG, SHENG-KAI",184,2.43,1.22
10920CHEM224001,有機化學實驗二Organic Chemistry Laboratory (II),"涂育瑋TU, YU-WEI",21,3.81,0.44
10920CHEM224002,有機化學實驗二Organic Chemistry Laboratory (II),"涂育瑋TU, YU-WEI",36,3.71,0.48
10920CHEM224003,有機化學實驗二Organic Chemistry Laboratory (II),"涂育瑋TU, YU-WEI",37,3.84,0.28
10920CHEM224004,有機化學實驗二Organic Chemistry Laboratory (II),"涂育瑋TU, YU-WEI",28,3.71,0.45
10920CHEM242000,物理化學二Physical Chemistry (II),"游靜惠YU, CHIN-HUI",75,2.61,1.16
10920CHEM244001,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",31,3.8,0.42
10920CHEM244002,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",31,3.92,0.3
10920CHEM244003,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",32,3.88,0.31
10920CHEM244004,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",31,3.81,0.42
10920CHEM292000,化學數學Mathematics for Chemistry,"江昀緯CHIANG, YUN-WEI",17,3.42,1.03
10920CHEM312000,分析化學二Analytical Chemistry (II),"帕偉鄂本URBAN, PAWEL LUKASZ",70,3.73,0.97
10920CHEM314001,分析化學實驗二Analytical Chemistry Laboratory (II),"廖英孝LIAO, YING-HSIAO",30,3.98,0.45
