0,1,2,3,4,5,6,7,8,9,10,11
11110ANTH800000,            論文研究Thesis,0,,,指導教授, ,限人類所博三以上同學，Selectable after successfully completing second year's coursework. 排除博士班1年級2年級,1,       , ,
ANTU　人類所與交大合作課程 Anthropology and NCTU,,,,,,,,,,,
11110ASTR500100,            專題研究--天文教學二Special Topic on Teaching Astronomy (II),1,,,指導教授, ,,1,       , ,
11110ASTR530000,            星系天文學Galactic Astronomy,3,      T6T7T8,      GEN II綜二521／容量45,"安德魯˙古柏COOPER, ANDREW PAUL", ,/Offered in English,3,       , ,
11110ASTR591000,            專題演講一Colloquium (I),1,      F6F7,      GEN II綜二521／容量45,何英宏Daniel Harsono, ,/Offered in English,5,       , ,
11110ASTR600700,            天文物理的前沿一Frontier of Astrophysics Seminars I,1,      TnWnRn,      GEN II綜二501／容量25,"後藤友嗣GOTO, TOMOTSUGU", ,/Offered in English,5,       , ,
11110ASTR610000,            天文觀測Observational Astronomy,3,      W6W7W8,      GEN II綜二521／容量45,江國興ALBERT KONG,15,/Offered in English (台聯大)太空科技與工程學分學程,7,       , ,
11110ASTR660000,            計算天文物理Computational Astrophysics,3,      R6R7R8,      GEN II綜二501／容量25,"楊湘怡YANG, HSIANG-YI", ,/Offered in English,12,       , ,
11110ASTR691000,            論文研究Thesis,0,,,指導教授, ,限天文所碩二以上同學，Selectable after successfully completing first year's coursework 排除天文所碩士班1年級,1,       , ,
11110ASTR992000,            論文研究Thesis,0,,,指導教授, ,限天文所博二以上同學，Selectable after successfully completing first year's coursework 排除博士班1年級,1,       , ,
11110BAI 700100,            統計與機器學習概論一Introduction of Statistics and Machine Learning (I),3,      T2T3T4,      GEN II綜二614／容量24,"楊立威YANG, LEE-WEI張筱涵CHANG, HSIAO-HAN羅中泉LO, CHUNG-CHUAN",20,"/Offered in English 本課程為 16 週課程。限大三以上修習 電資院,工學院,生科院,原科院,智慧生醫博士學程優先，第3次選課起開放全校修習 (跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程",2,       , ,
11110BAI 700300,            專題演講Colloquium,1,      T5T6,      GEN II綜二104／容量58,"楊立威YANG, LEE-WEI",40,"/Offered in English 課程為 16 週課程。 電資院,工學院,生科院,原科院,智慧生醫博士學程優先，第3次選課起開放全校修習",1,       , ,
11110BAI 700600,            實驗輪轉一Lab Rotation (I),1,      Tn,,,3,限智慧生醫博士學程,1,       , ,
11110BME 400100,            專題研究Undergraduate Research,3,,,指導教授, ,限大學部學生修課 限大學部,7,       , ,
11110BME 500400,            書報討論Seminar,1,      W3W4,      NTHU Lab清實826／容量24,"鄭兆珉CHENG, CHAO-MIN", ,限醫工所,20,       , ,
11110BME 500800,            癌症生物學與治療Cancer Biology and Therapy,3,      M5M6M7,      NTHU Lab清實826／容量24,"陳韻晶CHEN, YUN-CHING",24,/Offered in English (跨領域)生物產業技術學分學程,9,       , ,
11110BME 501200,            論文研究Thesis,0,,,指導教授, ,限醫工所碩二以上同學，Selectable after successfully completing first year's coursework 排除碩士班1年級,15,       , ,
11110BME 501900,            微機電奈米感測器Microelectromechanical Sensor,3,      F6F7F8,      NTHU Lab清實319／容量10,"林宗宏LIN, ZONG-HONG", ,/Offered in English 限醫工所 (跨領域)奈米科技學分學程,9,       , ,
11110BME 502400,            奈米生醫材料Nano-/Bio-materials,3,      W5W6W7,      NTHU Lab清實319／容量10,"鄭兆珉CHENG, CHAO-MIN", ,/Offered in English (跨領域)奈米科技學分學程/(跨領域)奈微米機電元件與系統全英語學分學程,2,       , ,
11110BME 502500,            生物分析化學Bioanalytical Chemistry,3,      T6T7T8,      NTHU Lab清實826／容量24,"林宗宏LIN, ZONG-HONG", ,/Offered in English (跨領域)生物產業技術學分學程,6,       , ,
11110BME 502600,            醫療器材設計與開發實務Practical Skills of the Design and Development of Medical Devices,3,      MaMbMc,      GEN II綜二616／容量24,"王明哲WANG, MING-CHE",36,,10,       , ,
11110BME 503600,            奈米光學材料Optical Nanomaterials,3,      R7R8R9,      NTHU Lab清實826／容量24,"萬德輝WAN, DE-HUI", ,/Offered in English 限醫工所,3,       , ,
11110BME 503900,            應用細胞生物工程學Applied Cellular Bioengineering,3,      R2R3R4,      NTHU Lab清實826／容量24,"黃玠誠HUANG, CHIEH-CHENG", ,/Offered in English,9,       , ,
11110BME 504000,            金屬生物醫藥與生醫材料Metal-based biomedicine and biomaterials,3,      M2M3M4,      NTHU Lab清實826／容量24,"魯才德LU, TSAI-TE", ,/Offered in English 限曾修過「普通化學」者選修,8,       , ,
