0,1,2,3,4,5,6,7,8
11110BME 502600,醫療器材設計與開發實務(增開)Practical Skills of the Design and Development of Medical Devices,"王明哲WANG, MING-CHE",MaMbMc,36,10,26,3,
11110BME 503600,奈米光學材料Optical Nanomaterials,"萬德輝WAN, DE-HUI",R7R8R9,無限制,4,無限制,0,
11110BME 503900,應用細胞生物工程學Applied Cellular Bioengineering,"黃玠誠HUANG, CHIEH-CHENG",R2R3R4,無限制,13,無限制,0,
11110BME 504000,金屬生物醫藥與生醫材料Metal-based biomedicine and biomaterials,"魯才德LU, TSAI-TE",M2M3M4,無限制,8,無限制,0,
11110BME 504400,前瞻生物醫學技術概論Introduction of Frontier Biomedical Technology,"裘正健CHIU, JENG-JIANN",F2F3F4,15,6,9,4,
11110BME 504600,液態生物檢體與轉譯醫學應用Liquid biopsy and its applications in translational medicine,"林幸瑩LIN, HSING-YING",M2M3M4,無限制,2,無限制,0,
11110BME 504900,物聯網生醫感測平台於轉譯醫學之應用IoT biomedical sensing platformsin translational medicine application,"林幸瑩LIN, HSING-YING",M5M6M7,無限制,1,無限制,0,
11110BME 800100,論文研究Thesis,指導教授, ,無限制,0,無限制,0,
11110BMES111100,生醫工程與環境科學導論Introduction to Biomedical Engineering and Environmental Sciences,"陳之碩CHEN, CHI-SHUO黃郁棻HUANG, YU-FEN",M7M8M9,60,3,57,14,
11110BMES211100,工程數學一Engineering Mathematics I,"朱麗安CHU, LI-AN",T7T8T9,50,37,13,0,
11110BMES212100,機率與統計Probability and Statistics,"陳之碩CHEN, CHI-SHUO",M3M4W2,60,58,2,0,
11110BMES213300,電子學一Electronics I,"王廷瑋WANG, TING-WEI",T3T4R4,無限制,51,無限制,0,
11110BMES215100,有機化學一Organic Chemistry (I),"俞鐘山YU, CHUNG-SHAN",W3W4F3F4,無限制,44,無限制,0,
11110BMES312101,生醫電子與儀器實驗(增開)Biomedical Electronics and Instrumentation Laboratory,"王廷瑋WANG, TING-WEI",M5M6M7M8,25,10,15,0,
11110BMES312102,生醫電子與儀器實驗(增開)Biomedical Electronics and Instrumentation Laboratory,"陳之碩CHEN, CHI-SHUO",R5R6R7R8,25,25,0,0,
11110BMES316100,生物化學一Biochemistry I,"邱信程CHIU, HSIN-CHENG",T3T4R3,無限制,38,無限制,0,
11110BMES318100,專題研究一Undergraduate Research (I),指導教授, ,無限制,15,無限制,0,
11110BMES323100,數值方法Numerical Methods,"劉耕谷LIU, KENG-KU",T6T7T8,無限制,12,無限制,0,
11110BMES327200,生醫材料Biomedical Materials,"胡尚秀HU, SHANG-HSIU",W3W4F2,30,19,11,0,
11110BMES332100,儀器分析Instrumental Analysis,"李亦淇LEE, I-CHI",R4F3F4,無限制,10,無限制,0,
11110BMES337100,物理化學一Physical Chemistry (I),"吳劍侯WU, CHIEN-HOU",M3M4W1W2,無限制,19,無限制,0,
11110BMES343100,醫學儀器Medical Instrumentation,"彭旭霞PENG, HSU-HSIA",W2W3W4,無限制,10,無限制,0,
11110BMES411100,書報討論Seminar,"林曉均Lin, Hsiao Chun",W6,26,21,5,0,
11110BMES418100,專題研究三(增開)Undergraduate Research (III),指導教授, ,無限制,21,無限制,0,
11110BMES420200,放射化學Radiochemistry,"張智偉CHANG, CHIH-WEI",W7W8W9,無限制,16,無限制,0,
11110BMES423100,分子細胞生物學Molecular and Cellular Biology,"張建文CHANG, CHIEN-WEN",M7M8M9,無限制,19,無限制,0,
11110BMES433100,全球能源短缺衝擊Impact of Global Energy Shortage,"鍾堅CHUNG, CHIEN",R7R8,95,79,16,6,
11110BMES441100,臨床醫學影像概論Introduction of medical imaging,"楊菁華YANG, CHIN-HUA",F5F6F7,無限制,27,無限制,0,
11110BMES441200,放射物理(增開)Radiation Physics,"許芳裕HSU, FANG-YUH",T6T7T8,無限制,22,無限制,0,
11110BMES441300,臨床醫學總論Clinical Medicine,"沈名吟SHEN, MING-YIN",W2W3W4,無限制,22,無限制,0,
11110BMES442100,生醫訊號與系統Biomedical Signals and Systems,"葉秩光YEH, CHIH-KUANG",M2M3M4,無限制,20,無限制,0,
11110BMES500000,專題演講Colloquium,"莊淳宇CHUANG, CHUN-YU朱麗安CHU, LI-AN",W7W8,無限制,60,無限制,0,
11110BMES511101,書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"莊淳宇CHUANG, CHUN-YU",W5,無限制,18,無限制,0,
11110BMES511103,書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"朱麗安CHU, LI-AN",W5,無限制,7,無限制,0,
11110BMES512100,碩士班專題研究一MS Graduate Research (I),指導教授, ,無限制,23,無限制,0,
11110BMES520100,分子生醫基礎Introduction to Molecular Biomedicine,"莊淳宇CHUANG, CHUN-YU",W2W3W4,無限制,8,無限制,0,
11110BMES520200,生醫感測器Biomedical Sensors,"劉耕谷LIU, KENG-KU",M5M6M7,無限制,28,無限制,0,
11110BMES523500,器官晶片與人工器官設計與應用(增開)Design and Application of Organ on a Chip and Bioartificial Organ,"李亦淇LEE, I-CHI",T5T6T7,無限制,29,無限制,0,
11110BMES529100,生醫耦合化學Bioconjugated Chemistry,"俞鐘山YU, CHUNG-SHAN",R6R7R8,無限制,2,無限制,0,
11110BMES544500,醫學成像器材研發Development of Medical Imaging Instruments,"林曉均Lin, Hsiao Chun",M5M6M7,無限制,3,無限制,0,
11110BMES545300,神經科學研究方法Neuroscience research methods,"朱麗安CHU, LI-AN",R5R6,14,3,11,4,
11110BMES545500,精準醫學暨臨床應用Clinical applications of precision medicine,"楊晶安YANG, CHIN-AN",T3T4,無限制,11,無限制,0,
11110BMES546300,生醫影像處理Biomedical Image Processing,"許靖涵HSU, CHING-HAN",W2W3W4,無限制,27,無限制,0,
11110BMES546700,核磁共振影像原理及應用Magnetic Resonance Imaging Principles and Applications,"彭旭霞PENG, HSU-HSIA",R2R3R4,無限制,3,無限制,0,
11110BMES548500,超音波與光學：生醫技術與應用(增開)Ultrasound and Optics : Biomedical Imaging Techniques and applications,"林曉均Lin, Hsiao Chun",T5T6T7,無限制,5,無限制,0,
11110BMES610200,論文研究Thesis,指導教授, ,無限制,21,無限制,0,
11110BMES611101,專題書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"莊淳宇CHUANG, CHUN-YU",W6,無限制,18,無限制,0,
11110BMES611103,專題書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"朱麗安CHU, LI-AN",W6,無限制,9,無限制,0,
11110BMES711100,專題書報討論Seminar,"劉耕谷LIU, KENG-KU",W6,無限制,9,無限制,0,
11110BMES712100,博士班專題研究一PhD Graduate Research (I),指導教授, ,無限制,3,無限制,0,
11110BMES810100,論文研究Thesis,指導教授, ,無限制,1,無限制,0,
11110CL  101001,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",M5M6,25/25,0,25,15,
11110CL  101002,大學中文College Chinese,"李慈恩LEE, TZU-EN",M5M6,25/25,0,25,20,
11110CL  101003,大學中文College Chinese,"方俠文FANG, SHIA-WEN",M5M6,25/25,0,25,10,
11110CL  101004,大學中文College Chinese,"鄧怡菁TENG, I-CHING",M5M6,25/25,0,25,6,
11110CL  101005,大學中文College Chinese,"林家妃LIN, CHIA-FEI",M5M6,25/25,0,25,7,
11110CL  101006,大學中文College Chinese,"王達甫WANG, DA-FU",M5M6,25/25,0,25,5,
11110CL  101007,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",M5M6,25/25,0,25,12,
11110CL  101008,大學中文College Chinese,"李東龍LI,TUNG-LUNG",M5M6,25/25,0,25,4,
11110CL  101011,大學中文College Chinese,"謝明憲HSIEH, MING-HSIEN",T5T6,25/25,0,25,8,
11110CL  101012,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",T5T6,25/25,0,25,14,
11110CL  101013,大學中文College Chinese,"李慈恩LEE, TZU-EN",T5T6,25/25,0,25,13,
11110CL  101014,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",T5T6,25/25,0,25,14,
11110CL  101015,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",T5T6,25/25,0,25,14,
11110CL  101016,大學中文College Chinese,"余能城YU, NENG-CHENG",T5T6,25/25,0,25,14,
11110CL  101017,大學中文College Chinese,李琪琪LEI KEI KEI,T5T6,25/25,0,25,5,
11110CL  101022,大學中文College Chinese,"李慈恩LEE, TZU-EN",W5W6,25/25,0,25,6,
11110CL  101023,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",W5W6,25/25,0,25,15,
11110CL  101024,大學中文College Chinese,"方俠文FANG, SHIA-WEN",W5W6,25/25,0,25,14,
11110CL  101025,大學中文College Chinese,"余能城YU, NENG-CHENG",W5W6,25/25,0,25,13,
11110CL  101026,大學中文College Chinese,"謝憶凡HSIEH, I-FAN",W5W6,25/25,0,25,10,
11110CL  101029,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",R5R6,25/25,0,25,14,
11110CL  101030,大學中文College Chinese,"呂柏勳LU, BO-HSUEN",R5R6,25/25,0,25,15,
11110CL  101031,大學中文College Chinese,"林佩珊LIN, PEI-SHAN",R5R6,25/25,0,25,11,
11110CL  101032,大學中文College Chinese,"劉璟翰LIU, CHING-HAN",R5R6,25/25,0,25,9,
11110CL  101033,大學中文College Chinese,"王秋今WANG, CHIU-CHIN",R5R6,25/25,0,25,10,
11110CL  101034,大學中文College Chinese,"顏美琇YEN, MEI-HSIU",R5R6,25/25,0,25,5,
11110CL  101038,大學中文College Chinese,"呂柏勳LU, BO-HSUEN",F5F6,25/25,0,25,16,
11110CL  101039,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",F5F6,25/25,0,25,11,
11110CL  101040,大學中文College Chinese,"鄧怡菁TENG, I-CHING",F5F6,25/25,0,25,10,
11110CL  101041,大學中文College Chinese,"孫立梅SUN, LI-MEI",F5F6,25/25,0,25,13,
11110CL  101042,大學中文College Chinese,"劉璟翰LIU, CHING-HAN",F5F6,25/25,0,25,11,
11110CL  101050,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",T5T6,25/25,0,25,4,
11110CL  101051,大學中文College Chinese,"王達甫WANG, DA-FU",T5T6,25/25,0,25,1,
11110CL  101061,大學中文College Chinese,"方俠文FANG, SHIA-WEN",R5R6,25/25,0,25,12,
11110CL  101062,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",R5R6,25/25,0,25,9,
11110CL  101063,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",R5R6,25/25,0,25,16,
