course_ID_full_orig,current_stage_enrollment
11110CL  370200,35
11110CL  372300,22
11110CL  382900,5
11110CL  410100,55
11110CL  420200,17
11110CL  440700,10
11110CL  462000,13
11110CL  462100,12
11110CL  462200,12
11110CL  480500,19
11110CL  502300,4
11110CL  503700,4
11110CL  506000,2
11110CL  524100,8
11110CL  524900,2
11110CL  525000,8
11110CL  532900,4
11110CL  534000,4
11110CL  535500,12
11110CL  572900,16
11110CL  573300,5
11110CL  591500,4
11110CL  600100,1
11110CL  700100,3
11110CLC 100101,0
11110CLC 100102,3
11110CLC 100103,12
11110CLC 100104,3
11110CLC 100105,3
11110CLC 100201,9
11110CLC 100202,20
11110CLC 100203,6
11110CLC 100301,18
11110CLC 100302,15
11110CLC 100303,6
11110CLC 100800,15
11110CLC 100900,5
11110CLC 101101,2
11110CLC 101102,1
11110CLC 101103,5
11110CLC 101201,6
11110CLC 101202,6
11110CLC 101300,15
11110CLC 101400,20
11110CLC 200101,12
11110CLC 200102,8
11110CLC 200201,15
11110CLC 200202,15
11110CLC 200301,6
11110CLC 200302,6
11110CLC 300100,14
11110CLC 300200,12
11110CLC 300300,15
11110CLC 301200,9
11110CLC 400100,8
11110CLC 400200,9
11110CLC 400300,1
11110CLC 401100,18
11110CLC 401200,3
11110COM 501000,60
11110COM 503000,0
11110COM 512000,11
11110COM 513000,36
11110COM 517000,13
11110COM 522000,19
11110COM 524000,36
11110COM 524200,13
11110COM 524500,10
11110COM 525200,77
11110COM 526000,48
11110COM 530500,16
11110COM 530600,14
11110COM 534200,11
11110COM 541000,3
11110COM 601000,37
11110COM 701000,3
11110CS  135501,0
11110CS  135502,0
11110CS  135600,0
11110CS  135700,0
11110CS  135800,105
11110CS  233401,75
11110CS  233402,75
11110CS  233601,30
11110CS  233602,0
11110CS  235101,75
11110CS  235102,53
11110CS  312000,71
11110CS  330500,90
11110CS  342301,75
11110CS  342302,75
11110CS  342700,40
11110CS  343300,50
11110CS  390100,0
11110CS  390200,135
11110CS  410000,48
11110CS  431101,55
11110CS  431102,100
11110CS  452000,40
11110CS  460100,90
11110CS  460200,100
11110CS  516000,38
11110CS  517000,5
11110CS  522100,15
11110CS  529100,3
11110CS  531300,14
11110CS  531900,140
11110CS  532100,43
11110CS  539100,19
11110CS  540400,9
11110CS  542200,29
11110CS  542300,0
11110CS  546000,0
11110CS  546400,30
11110CS  550300,50
11110CS  550700,27
11110CS  551200,0
11110CS  555100,20
11110CS  560500,32
11110CS  565600,74
11110CS  573400,20
11110CS  580100,24
11110CS  591000,0
11110CS  613500,22
11110CS  655000,48
11110CS  690000,119
11110CS  724600,0
11110CS  742900,0
11110CS  761000,0
11110CS  772000,0
11110CS  890000,5
11110CSR 500100,6
11110CSR 500300,0
11110CSR 510100,6
11110CSR 520100,5
11110CSR 530100,3
11110CSR 530200,0
11110CSR 540100,8
11110CSR 540300,0
11110CL  321000,4
11110CL  410100,55
11110CL  462000,13
11110CL  462100,12
11110COM 517000,13
11110CS  135600,0
11110CS  135800,105
11110CS  312000,71
11110CS  542200,29
11110ECON309103,45
11110ECON309104,13
11110ECON507400,5
11110EE  582000,1
11110EE  626500,4
11110EECS208000,36
11110FL  310200,9
11110GE  135500,70
11110GE  162200,27
11110GE  191200,70
11110GEC 120200,90
11110IIS 500200,121
11110ISA 556100,90
11110ISA 581000,105
11110KSN 500100,0
11110KSN 500200,0
11110KSN 500400,0
11110KSN 500500,0
11110LS  114300,200
11110LSC 110100,16
11110NES 525500,3
11110NES 525700,5
11110PME 402100,38
11110QF  322100,40
11110TL  540300,18
11110DMS 110100,10
11110DMS 210500,24
11110DMS 274100,29
11110DMS 275100,42
11110DMS 275500,60
11110DMS 301100,22
11110DMS 301200,1
11110DMS 320100,71
11110DMS 370001,28
11110DMS 370002,27
11110DMS 370300,47
11110DMS 370500,53
11110DMS 370700,42
11110DMS 390001,7
11110DMS 390002,8
11110DMS 390003,8
11110DMS 390004,8
11110DMS 390005,8
11110DMS 475100,42
11110E   100101,1
11110E   100102,2
11110E   100103,0
11110E   100104,1
11110E   100105,5
11110E   100106,4
11110E   100107,1
11110E   100108,0
11110E   100109,0
11110E   100110,0
11110E   100111,0
11110E   100112,0
11110E   100113,0
11110E   100114,0
11110E   100115,0
11110E   100116,0
11110E   100117,0
11110E   100118,0
11110E   100119,0
11110E   100120,1
11110E   500100,15
11110ECON100101,0
11110ECON100102,0
11110ECON100103,0
11110ECON100104,0
11110ECON100105,0
11110ECON100106,0
11110ECON127101,25
11110ECON127102,0
11110ECON127300,31
11110ECON206101,70
11110ECON206102,96
11110ECON206103,74
11110ECON206104,43
11110ECON210101,52
11110ECON210102,80
11110ECON216101,34
11110ECON216102,100
11110ECON221200,30
11110ECON227300,35
11110ECON228100,50
11110ECON303300,57
11110ECON309101,50
11110ECON309102,80
11110ECON309103,45
11110ECON309104,13
11110ECON310500,74
11110ECON310600,30
11110ECON316100,100
11110ECON327101,50
11110ECON327102,3
11110ECON328200,67
